Bar,Timestamp,Equity,Balance,UnrealizedPnL,PositionQty,Type
615,1704404160.0,30.00,30.00,0.00,0.00000000,BAR
616,1704404220.0,30.00,30.00,0.00,0.00000000,BAR
617,1704404280.0,30.00,30.00,0.00,0.00000000,BAR
618,1704404340.0,30.00,30.00,0.00,0.00000000,BAR
619,1704404400.0,30.00,30.00,0.00,0.00000000,BAR
620,1704404460.0,30.00,30.00,0.00,0.00000000,BAR
621,1704404520.0,30.00,30.00,0.00,0.00000000,BAR
622,1704404580.0,30.00,30.00,0.00,0.00000000,BAR
623,1704404640.0,30.00,30.00,0.00,0.00000000,BAR
624,1704404700.0,30.00,30.00,0.00,0.00000000,BAR
625,1704404760.0,30.00,30.00,0.00,0.00000000,BAR
626,1704404820.0,30.00,30.00,0.00,0.00000000,BAR
627,1704404880.0,30.00,30.00,0.00,0.00000000,BAR
628,1704404940.0,30.00,30.00,0.00,0.00000000,BAR
629,1704405000.0,30.00,30.00,0.00,0.00000000,BAR
630,1704405060.0,30.00,30.00,0.00,0.00000000,BAR
631,1704405120.0,30.00,30.00,0.00,0.00000000,BAR
632,1704405180.0,30.00,30.00,0.00,0.00000000,BAR
633,1704405240.0,30.00,30.00,0.00,0.00000000,BAR
634,1704405300.0,30.00,30.00,0.00,0.00000000,BAR
635,1704405360.0,30.00,30.00,0.00,0.00000000,BAR
636,1704405420.0,30.00,30.00,0.00,0.00000000,BAR
637,1704405480.0,30.00,30.00,0.00,0.00000000,BAR
638,1704405540.0,30.00,30.00,0.00,0.00000000,BAR
639,1704405600.0,30.00,30.00,0.00,0.00000000,BAR
640,1704405660.0,30.00,30.00,0.00,0.00000000,BAR
641,1704405720.0,30.00,30.00,0.00,0.00000000,BAR
642,1704405780.0,30.00,30.00,0.00,0.00000000,BAR
643,1704405840.0,30.00,30.00,0.00,0.00000000,BAR
644,1704405900.0,30.00,30.00,0.00,0.00000000,BAR
645,1704405960.0,30.00,30.00,0.00,0.00000000,BAR
646,1704406020.0,30.00,30.00,0.00,0.00000000,BAR
647,1704406080.0,30.00,30.00,0.00,0.00000000,BAR
648,1704406140.0,30.00,30.00,0.00,0.00000000,BAR
649,1704406200.0,30.00,30.00,0.00,0.00000000,BAR
650,1704406260.0,30.00,30.00,0.00,0.00000000,BAR
651,1704406320.0,30.00,30.00,0.00,0.00000000,BAR
652,1704406380.0,30.00,30.00,0.00,0.00000000,BAR
653,1704406440.0,30.00,30.00,0.00,0.00000000,BAR
654,1704406500.0,30.00,30.00,0.00,0.00000000,BAR
655,1704406560.0,30.00,30.00,0.00,0.00000000,BAR
656,1704406620.0,30.00,30.00,0.00,0.00000000,BAR
657,1704406680.0,30.00,30.00,0.00,0.00000000,BAR
658,1704406740.0,30.00,30.00,0.00,0.00000000,BAR
659,1704406800.0,30.00,30.00,0.00,0.00000000,BAR
660,1704406860.0,30.00,30.00,0.00,0.00000000,BAR
661,1704406920.0,30.00,30.00,0.00,0.00000000,BAR
662,1704406980.0,30.00,30.00,0.00,0.00000000,BAR
663,1704407040.0,30.00,30.00,0.00,0.00000000,BAR
664,1704407100.0,30.00,30.00,0.00,0.00000000,BAR
665,1704407160.0,30.00,30.00,0.00,0.00000000,BAR
666,1704407220.0,30.00,30.00,0.00,0.00000000,BAR
667,1704407280.0,30.00,30.00,0.00,0.00000000,BAR
668,1704407340.0,30.00,30.00,0.00,0.00000000,BAR
669,1704407400.0,30.00,30.00,0.00,0.00000000,BAR
670,1704407460.0,30.00,30.00,0.00,0.00000000,BAR
671,1704407520.0,30.00,30.00,0.00,0.00000000,BAR
672,1704407580.0,30.00,30.00,0.00,0.00000000,BAR
673,1704407640.0,30.00,30.00,0.00,0.00000000,BAR
674,1704407700.0,30.00,30.00,0.00,0.00000000,BAR
675,1704407760.0,30.00,30.00,0.00,0.00000000,BAR
676,1704407820.0,30.00,30.00,0.00,0.00000000,BAR
677,1704407880.0,30.00,30.00,0.00,0.00000000,BAR
678,1704407940.0,30.00,30.00,0.00,0.00000000,BAR
679,1704408000.0,30.00,30.00,0.00,0.00000000,BAR
680,1704408060.0,30.00,30.00,0.00,0.00000000,BAR
681,1704408120.0,30.00,30.00,0.00,0.00000000,BAR
682,1704408180.0,30.00,30.00,0.00,0.00000000,BAR
683,1704408240.0,30.00,30.00,0.00,0.00000000,BAR
684,1704408300.0,30.00,30.00,0.00,0.00000000,BAR
685,1704408360.0,30.00,30.00,0.00,0.00000000,BAR
686,1704408420.0,30.00,30.00,0.00,0.00000000,BAR
687,1704408480.0,30.00,30.00,0.00,0.00000000,BAR
688,1704408540.0,30.00,30.00,0.00,0.00000000,BAR
689,1704408600.0,30.00,30.00,0.00,0.00000000,BAR
690,1704408660.0,30.00,30.00,0.00,0.00000000,BAR
691,1704408720.0,30.00,30.00,0.00,0.00000000,BAR
692,1704408780.0,30.00,30.00,0.00,0.00000000,BAR
693,1704408840.0,30.00,30.00,0.00,0.00000000,BAR
694,1704408900.0,30.00,30.00,0.00,0.00000000,BAR
695,1704408960.0,30.00,30.00,0.00,0.00000000,BAR
696,1704409020.0,30.00,30.00,0.00,0.00000000,BAR
697,1704409080.0,30.00,30.00,0.00,0.00000000,BAR
698,1704409140.0,30.00,30.00,0.00,0.00000000,BAR
699,1704409200.0,30.00,30.00,0.00,0.00000000,BAR
700,1704409260.0,30.00,30.00,0.00,0.00000000,BAR
701,1704409320.0,30.00,30.00,0.00,0.00000000,BAR
702,1704409380.0,30.00,30.00,0.00,0.00000000,BAR
703,1704409440.0,30.00,30.00,0.00,0.00000000,BAR
704,1704409500.0,30.00,30.00,0.00,0.00000000,BAR
705,1704409560.0,30.00,30.00,0.00,0.00000000,BAR
706,1704409620.0,30.00,30.00,0.00,0.00000000,BAR
707,1704409680.0,30.00,30.00,0.00,0.00000000,BAR
708,1704409740.0,30.00,30.00,0.00,0.00000000,BAR
709,1704409800.0,30.00,30.00,0.00,0.00000000,BAR
710,1704409860.0,30.00,30.00,0.00,0.00000000,BAR
711,1704409920.0,30.00,30.00,0.00,0.00000000,BAR
712,1704409980.0,30.00,30.00,0.00,0.00000000,BAR
713,1704410040.0,30.00,30.00,0.00,0.00000000,BAR
714,1704410100.0,30.00,30.00,0.00,0.00000000,BAR
715,1704410160.0,30.00,30.00,0.00,0.00000000,BAR
716,1704410220.0,30.00,30.00,0.00,0.00000000,BAR
717,1704410280.0,30.00,30.00,0.00,0.00000000,BAR
718,1704410340.0,30.00,30.00,0.00,0.00000000,BAR
719,1704410400.0,30.00,30.00,0.00,0.00000000,BAR
720,1704410460.0,30.00,30.00,0.00,0.00000000,BAR
721,1704410520.0,30.00,30.00,0.00,0.00000000,BAR
722,1704410580.0,30.00,30.00,0.00,0.00000000,BAR
723,1704410640.0,30.00,30.00,0.00,0.00000000,BAR
724,1704410700.0,30.00,30.00,0.00,0.00000000,BAR
725,1704410760.0,30.00,30.00,0.00,0.00000000,BAR
726,1704410820.0,30.00,30.00,0.00,0.00000000,BAR
727,1704410880.0,30.00,30.00,0.00,0.00000000,BAR
728,1704410940.0,30.00,30.00,0.00,0.00000000,BAR
729,1704411000.0,30.00,30.00,0.00,0.00000000,BAR
730,1704411060.0,30.00,30.00,0.00,0.00000000,BAR
731,1704411120.0,30.00,30.00,0.00,0.00000000,BAR
732,1704411180.0,30.00,30.00,0.00,0.00000000,BAR
733,1704411240.0,30.00,30.00,0.00,0.00000000,BAR
734,1704411300.0,30.00,30.00,0.00,0.00000000,BAR
735,1704411360.0,30.00,30.00,0.00,0.00000000,BAR
736,1704411420.0,30.00,30.00,0.00,0.00000000,BAR
737,1704411480.0,30.00,30.00,0.00,0.00000000,BAR
738,1704411540.0,30.00,30.00,0.00,0.00000000,BAR
739,1704411600.0,30.00,30.00,0.00,0.00000000,BAR
740,1704411660.0,30.00,30.00,0.00,0.00000000,BAR
741,1704411720.0,30.00,30.00,0.00,0.00000000,BAR
742,1704411780.0,30.00,30.00,0.00,0.00000000,BAR
743,1704411840.0,30.00,30.00,0.00,0.00000000,BAR
744,1704411900.0,30.00,30.00,0.00,0.00000000,BAR
745,1704411960.0,30.00,30.00,0.00,0.00000000,BAR
746,1704412020.0,30.00,30.00,0.00,0.00000000,BAR
747,1704412080.0,30.00,30.00,0.00,0.00000000,BAR
748,1704412140.0,30.00,30.00,0.00,0.00000000,BAR
749,1704412200.0,30.00,30.00,0.00,0.00000000,BAR
750,1704412260.0,30.00,30.00,0.00,0.00000000,BAR
751,1704412320.0,30.00,30.00,0.00,0.00000000,BAR
752,1704412380.0,30.00,30.00,0.00,0.00000000,BAR
753,1704412440.0,30.00,30.00,0.00,0.00000000,BAR
754,1704412500.0,30.00,30.00,0.00,0.00000000,BAR
755,1704412560.0,30.00,30.00,0.00,0.00000000,BAR
756,1704412620.0,30.00,30.00,0.00,0.00000000,BAR
757,1704412680.0,30.00,30.00,0.00,0.00000000,BAR
758,1704412740.0,30.00,30.00,0.00,0.00000000,BAR
759,1704412800.0,30.00,30.00,0.00,0.00000000,BAR
760,1704412860.0,30.00,30.00,0.00,0.00000000,BAR
761,1704412920.0,30.00,30.00,0.00,0.00000000,BAR
762,1704412980.0,30.00,30.00,0.00,0.00000000,BAR
763,1704413040.0,30.00,30.00,0.00,0.00000000,BAR
764,1704413100.0,30.00,30.00,0.00,0.00000000,BAR
765,1704413160.0,30.00,30.00,0.00,0.00000000,BAR
766,1704413220.0,30.00,30.00,0.00,0.00000000,BAR
767,1704413280.0,30.00,30.00,0.00,0.00000000,BAR
768,1704413340.0,30.00,30.00,0.00,0.00000000,BAR
769,1704413400.0,30.00,30.00,0.00,0.00000000,BAR
770,1704413460.0,30.00,30.00,0.00,0.00000000,BAR
771,1704413520.0,30.00,30.00,0.00,0.00000000,BAR
772,1704413580.0,30.00,30.00,0.00,0.00000000,BAR
773,1704413640.0,30.00,30.00,0.00,0.00000000,BAR
774,1704413700.0,30.00,30.00,0.00,0.00000000,BAR
775,1704413760.0,30.00,30.00,0.00,0.00000000,BAR
776,1704413820.0,30.00,30.00,0.00,0.00000000,BAR
777,1704413880.0,30.00,30.00,0.00,0.00000000,BAR
778,1704413940.0,30.00,30.00,0.00,0.00000000,BAR
779,1704414000.0,30.00,30.00,0.00,0.00000000,BAR
780,1704414060.0,30.00,30.00,0.00,0.00000000,BAR
781,1704414120.0,30.00,30.00,0.00,0.00000000,BAR
782,1704414180.0,30.00,30.00,0.00,0.00000000,BAR
783,1704414240.0,30.00,30.00,0.00,0.00000000,BAR
784,1704414300.0,30.00,30.00,0.00,0.00000000,BAR
785,1704414360.0,30.00,30.00,0.00,0.00000000,BAR
786,1704414420.0,30.00,30.00,0.00,0.00000000,BAR
787,1704414480.0,30.00,30.00,0.00,0.00000000,BAR
788,1704414540.0,30.00,30.00,0.00,0.00000000,BAR
789,1704414600.0,30.00,30.00,0.00,0.00000000,BAR
790,1704414660.0,30.00,30.00,0.00,0.00000000,BAR
791,1704414720.0,30.00,30.00,0.00,0.00000000,BAR
792,1704414780.0,30.00,30.00,0.00,0.00000000,BAR
793,1704414840.0,30.00,30.00,0.00,0.00000000,BAR
794,1704414900.0,30.00,30.00,0.00,0.00000000,BAR
795,1704414960.0,30.00,30.00,0.00,0.00000000,BAR
796,1704415020.0,30.00,30.00,0.00,0.00000000,BAR
797,1704415080.0,30.00,30.00,0.00,0.00000000,BAR
798,1704415140.0,30.00,30.00,0.00,0.00000000,BAR
799,1704415200.0,30.00,30.00,0.00,0.00000000,BAR
800,1704415260.0,30.00,30.00,0.00,0.00000000,BAR
801,1704415320.0,30.00,30.00,0.00,0.00000000,BAR
802,1704415380.0,30.00,30.00,0.00,0.00000000,BAR
803,1704415440.0,30.00,30.00,0.00,0.00000000,BAR
804,1704415500.0,30.00,30.00,0.00,0.00000000,BAR
